state_id,page_id,state_name,reference_file,implementation_status,code_location,notes
AUTH-001-S11,AUTH-001,短信验证码错误,ui-reference/detailed/V1.0.0/AUTH-001-S11.png,PENDING,,
AUTH-001-S12,AUTH-001,短信验证码过期,ui-reference/detailed/V1.0.0/AUTH-001-S12.png,PENDING,,
AUTH-001-S13,AUTH-001,操作过于频繁,ui-reference/detailed/V1.0.0/AUTH-001-S13.png,PENDING,,
AUTH-001-S14,AUTH-001,账号受限,ui-reference/detailed/V1.0.0/AUTH-001-S14.png,PENDING,,
AUTH-001-S15,AUTH-001,网络错误,ui-reference/detailed/V1.0.0/AUTH-001-S15.png,PENDING,,
AUTH-001-S16,AUTH-001,请求超时,ui-reference/detailed/V1.0.0/AUTH-001-S16.png,PENDING,,
AUTH-002-S01,AUTH-002,注册默认,ui-reference/detailed/V1.0.0/AUTH-002-S01.png,PENDING,,
AUTH-002-S02,AUTH-002,输入聚焦,ui-reference/detailed/V1.0.0/AUTH-002-S02.png,PENDING,,
AUTH-002-S03,AUTH-002,手机号已注册,ui-reference/detailed/V1.0.0/AUTH-002-S03.png,PENDING,,
AUTH-002-S04,AUTH-002,两次密码不一致,ui-reference/detailed/V1.0.0/AUTH-002-S04.png,PENDING,,
AUTH-002-S05,AUTH-002,未同意协议,ui-reference/detailed/V1.0.0/AUTH-002-S05.png,PENDING,,
AUTH-002-S06,AUTH-002,其他校验错误,ui-reference/detailed/V1.0.0/AUTH-002-S06.png,PENDING,,
AUTH-002-S07,AUTH-002,等待安全验证码,ui-reference/detailed/V1.0.0/AUTH-002-S07.png,PENDING,,
AUTH-002-S08,AUTH-002,注册提交中,ui-reference/detailed/V1.0.0/AUTH-002-S08.png,PENDING,,
AUTH-002-S09,AUTH-002,注册成功,ui-reference/detailed/V1.0.0/AUTH-002-S09.png,PENDING,,
AUTH-002-S10,AUTH-002,注册限流,ui-reference/detailed/V1.0.0/AUTH-002-S10.png,PENDING,,
AUTH-002-S11,AUTH-002,网络错误,ui-reference/detailed/V1.0.0/AUTH-002-S11.png,PENDING,,
AUTH-002-S12,AUTH-002,注册失败,ui-reference/detailed/V1.0.0/AUTH-002-S12.png,PENDING,,
AUTH-004-S01,AUTH-004,协议加载,ui-reference/detailed/V1.0.0/AUTH-004-S01.png,PENDING,,
AUTH-004-S02,AUTH-004,协议正文,ui-reference/detailed/V1.0.0/AUTH-004-S02.png,PENDING,,
AUTH-004-S03,AUTH-004,离线缓存,ui-reference/detailed/V1.0.0/AUTH-004-S03.png,PENDING,,
AUTH-004-S04,AUTH-004,加载失败,ui-reference/detailed/V1.0.0/AUTH-004-S04.png,PENDING,,
AUTH-005-S01,AUTH-005,政策加载,ui-reference/detailed/V1.0.0/AUTH-005-S01.png,PENDING,,
AUTH-005-S02,AUTH-005,政策正文,ui-reference/detailed/V1.0.0/AUTH-005-S02.png,PENDING,,
AUTH-005-S03,AUTH-005,离线缓存,ui-reference/detailed/V1.0.0/AUTH-005-S03.png,PENDING,,
AUTH-005-S04,AUTH-005,加载失败,ui-reference/detailed/V1.0.0/AUTH-005-S04.png,PENDING,,
AUTH-OV-001-S01,AUTH-OV-001,验证码加载,ui-reference/detailed/V1.0.0/AUTH-OV-001-S01.png,PENDING,,
AUTH-OV-001-S02,AUTH-OV-001,等待输入,ui-reference/detailed/V1.0.0/AUTH-OV-001-S02.png,PENDING,,
AUTH-OV-001-S03,AUTH-OV-001,输入错误,ui-reference/detailed/V1.0.0/AUTH-OV-001-S03.png,PENDING,,
AUTH-OV-001-S04,AUTH-OV-001,验证码已过期,ui-reference/detailed/V1.0.0/AUTH-OV-001-S04.png,PENDING,,
AUTH-OV-001-S05,AUTH-OV-001,刷新中,ui-reference/detailed/V1.0.0/AUTH-OV-001-S05.png,PENDING,,
AUTH-OV-001-S06,AUTH-OV-001,验证中,ui-reference/detailed/V1.0.0/AUTH-OV-001-S06.png,PENDING,,
AUTH-OV-001-S07,AUTH-OV-001,验证成功,ui-reference/detailed/V1.0.0/AUTH-OV-001-S07.png,PENDING,,
AUTH-OV-001-S08,AUTH-OV-001,验证码网络失败,ui-reference/detailed/V1.0.0/AUTH-OV-001-S08.png,PENDING,,
AUTH-OV-002-S01,AUTH-OV-002,登录暂时锁定,ui-reference/detailed/V1.0.0/AUTH-OV-002-S01.png,PENDING,,
AUTH-OV-002-S02,AUTH-OV-002,账号被禁用,ui-reference/detailed/V1.0.0/AUTH-OV-002-S02.png,PENDING,,
AUTH-OV-002-S03,AUTH-OV-002,需要人工核验,ui-reference/detailed/V1.0.0/AUTH-OV-002-S03.png,PENDING,,
AUTH-OV-002-S04,AUTH-OV-002,登录方式暂不可用,ui-reference/detailed/V1.0.0/AUTH-OV-002-S04.png,PENDING,,
HOME-001-S07,HOME-001,暂无项目,ui-reference/detailed/V1.0.0/HOME-001-S07.png,PENDING,,
HOME-001-S13,HOME-001,登录过期,ui-reference/detailed/V1.0.0/HOME-001-S13.png,PENDING,,
ME-001-S01,ME-001,资料加载,ui-reference/detailed/V1.0.0/ME-001-S01.png,PENDING,,
ME-001-S02,ME-001,V1 基础资料,ui-reference/detailed/V1.0.0/ME-001-S02.png,PENDING,,
ME-001-S07,ME-001,资料加载失败,ui-reference/detailed/V1.0.0/ME-001-S07.png,PENDING,,
ME-001-S08,ME-001,登录过期,ui-reference/detailed/V1.0.0/ME-001-S08.png,PENDING,,
ME-OV-001-S01,ME-OV-001,确认退出,ui-reference/detailed/V1.0.0/ME-OV-001-S01.png,PENDING,,
ME-OV-001-S02,ME-OV-001,退出中,ui-reference/detailed/V1.0.0/ME-OV-001-S02.png,PENDING,,
ME-OV-001-S03,ME-OV-001,退出请求失败,ui-reference/detailed/V1.0.0/ME-OV-001-S03.png,PENDING,,
