state_id,page_id,page_name,state_name,original_release,implementation_version,reference_path,canonical_dp,pixel_size,density,design_system_version,sha256,visual_role,blocking_visual_gate
PUB-001-S06,PUB-001,发布项目,部分上传失败,V1.2.0,V1.2.0,visual/PUB-001-S06.png,390x844,1170x2532,3.0,STK-DS-1.0,457e6882179ac29747b917e60a298ea054ce5a28aed6cc4759133c7399e32772,REFERENCE_APPROVED,NO
PUB-002-S01,PUB-002,图片排序与封面,图片排序,V1.2.0,V1.2.0,visual/PUB-002-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,f23e68a76a5be9b16f43cab63a27c5ff9b7bb15f4ae9e0a9ea4f8ff925d07212,REFERENCE_APPROVED,YES
PUB-002-S02,PUB-002,图片排序与封面,拖动排序,V1.2.0,V1.2.0,visual/PUB-002-S02.png,390x844,1170x2532,3.0,STK-DS-1.0,4f262b3fb5804313cd536a63d2cb3b5cb86261c243346900872cf19659a32a85,REFERENCE_APPROVED,NO
PUB-002-S03,PUB-002,图片排序与封面,已更换封面,V1.2.0,V1.2.0,visual/PUB-002-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,22db750cc0c5ae807b004d6131e16a0f346d71ca3b72f96f39f7b45815b9f1da,REFERENCE_APPROVED,NO
PUB-002-S04,PUB-002,图片排序与封面,排序保存失败,V1.2.0,V1.2.0,visual/PUB-002-S04.png,390x844,1170x2532,3.0,STK-DS-1.0,292e68c0037518f477092315f3e627ea27824d15d02ba041f2fa38f70cc99116,REFERENCE_APPROVED,NO
PUB-OV-001-S01,PUB-OV-001,删除图片确认,确认删除图片,V1.2.0,V1.2.0,visual/PUB-OV-001-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,7e7cdae3a45df5a5cfadf082f7514e5343632f3f3cf8dc69d4e01b3513caadf9,REFERENCE_APPROVED,NO
PUB-OV-001-S02,PUB-OV-001,删除图片确认,删除中,V1.2.0,V1.2.0,visual/PUB-OV-001-S02.png,390x844,1170x2532,3.0,STK-DS-1.0,ece0dcc12a918f047e4da57ed3acb5fabb04a363c006eed10b30b0a9df3b9138,REFERENCE_APPROVED,NO
PUB-OV-001-S03,PUB-OV-001,删除图片确认,删除失败,V1.2.0,V1.2.0,visual/PUB-OV-001-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,1ffb7449b42217c5d169fb5f8ffbd29c53750fe2d7708d096cc547fbb066eca9,REFERENCE_APPROVED,NO
PUB-001-S08,PUB-001,发布项目,提交中,V1.2.0,V1.2.0,visual/PUB-001-S08.png,390x844,1170x2532,3.0,STK-DS-1.0,fabb25ab3da363481638b8a5348860844803443ccadb85203612d9224fdd708d,REFERENCE_APPROVED,NO
PUB-001-S09,PUB-001,发布项目,提交成功,V1.2.0,V1.2.0,visual/PUB-001-S09.png,390x844,1170x2532,3.0,STK-DS-1.0,f352d9f125d9824280305523622d28a402ce6a21eca21fa5fd74f3715a07dd8e,REFERENCE_APPROVED,YES
PUB-001-S10,PUB-001,发布项目,提交网络失败,V1.2.0,V1.2.0,visual/PUB-001-S10.png,390x844,1170x2532,3.0,STK-DS-1.0,877b2c37b9265ba5dde8ece5564925ca549a65c502eb2de971238f99be78a77f,REFERENCE_APPROVED,NO
PUB-001-S11,PUB-001,发布项目,达到每日上限,V1.2.0,V1.2.0,visual/PUB-001-S11.png,390x844,1170x2532,3.0,STK-DS-1.0,7d9efdd6550c78618e8c5489da81d4e85ce725a2d32d392960f9c4e673b208e4,REFERENCE_APPROVED,NO
PUB-001-S12,PUB-001,发布项目,待审核数量上限,V1.2.0,V1.2.0,visual/PUB-001-S12.png,390x844,1170x2532,3.0,STK-DS-1.0,e3c4bcec943de525e63a84797e359de88def6e0174e3ab4bb711a8ceb104a148,REFERENCE_APPROVED,NO
PUB-001-S13,PUB-001,发布项目,登录过期,V1.2.0,V1.2.0,visual/PUB-001-S13.png,390x844,1170x2532,3.0,STK-DS-1.0,b966b9a6b4a0ca8cb01a9068a0b14dcb4cf708557b02c4f3f9393934485136e7,REFERENCE_APPROVED,NO
PUB-003-S01,PUB-003,发布提交结果,已提交待审核,V1.2.0,V1.2.0,visual/PUB-003-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,8514e2af37002f80e97dd2c5f182dfee2504414fcc9610f8c856638f1e1ce2d8,REFERENCE_APPROVED,YES
PUB-003-S02,PUB-003,发布提交结果,直接发布成功,V1.2.0,V1.2.0,visual/PUB-003-S02.png,390x844,1170x2532,3.0,STK-DS-1.0,e7d34d96eae2160823237bda49930a741681aeff30bfbb9766737f9845683ede,REFERENCE_APPROVED,NO
PUB-003-S03,PUB-003,发布提交结果,服务端未接受,V1.2.0,V1.2.0,visual/PUB-003-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,2e513aadff1b84da5e7503906c588685ef56d301ef39404f9090aaa3e450638d,REFERENCE_APPROVED,NO
PUB-004-S01,PUB-004,编辑项目,编辑加载,V1.2.0,V1.2.0,visual/PUB-004-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,c6e69bda1ed5609cb983de3f497f5598631242716c33da42ca636a53fe6f7425,REFERENCE_APPROVED,NO
PUB-004-S02,PUB-004,编辑项目,编辑内容,V1.2.0,V1.2.0,visual/PUB-004-S02.png,390x844,1170x2532,3.0,STK-DS-1.0,94732c49f30942581f07f946312cc3aa480805806be42c5950da8d0ae9ffaca6,REFERENCE_APPROVED,YES
PUB-004-S03,PUB-004,编辑项目,重新审核提示,V1.2.0,V1.2.0,visual/PUB-004-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,9c71c761c24febbad8de6fc8a3340a6901c83e8125f7f3935c96be6b6aca1139,REFERENCE_APPROVED,NO
PUB-004-S04,PUB-004,编辑项目,保存中,V1.2.0,V1.2.0,visual/PUB-004-S04.png,390x844,1170x2532,3.0,STK-DS-1.0,01ded6df88b8efbf8bad91491af2f962fb6e80576b490fcb4448ca5493d84d7a,REFERENCE_APPROVED,NO
PUB-004-S05,PUB-004,编辑项目,保存成功,V1.2.0,V1.2.0,visual/PUB-004-S05.png,390x844,1170x2532,3.0,STK-DS-1.0,4d5b13fc91cc5b247d884cc2e836674d3676c9e1595ccbc5dfe2f242a82897b9,REFERENCE_APPROVED,NO
PUB-004-S06,PUB-004,编辑项目,版本冲突,V1.2.0,V1.2.0,visual/PUB-004-S06.png,390x844,1170x2532,3.0,STK-DS-1.0,0dcba7eb822901353563f90d1ee1ad962826d9b1d1d0f875ab3cf2b662640e9a,REFERENCE_APPROVED,NO
PUB-004-S07,PUB-004,编辑项目,无权或项目不存在,V1.2.0,V1.2.0,visual/PUB-004-S07.png,390x844,1170x2532,3.0,STK-DS-1.0,2a8724f9ca800c0829db9887a8cc394ea1aa89a40638c76fb8697c7910bcd194,REFERENCE_APPROVED,NO
PUB-004-S08,PUB-004,编辑项目,保存失败,V1.2.0,V1.2.0,visual/PUB-004-S08.png,390x844,1170x2532,3.0,STK-DS-1.0,f80f159fe22d14beee32e007a89f34a9216e8aa890c304985131115550dd2e4e,REFERENCE_APPROVED,NO
HOME-004-S03,HOME-004,项目详情,本人待审核项目,V1.2.0,V1.2.0,visual/HOME-004-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,45c0443bb67baec0771c70151327e86c91dbb5367df89385ddb672a5fad9fd15,REFERENCE_APPROVED,NO
HOME-004-S04,HOME-004,项目详情,本人被驳回项目,V1.2.0,V1.2.0,visual/HOME-004-S04.png,390x844,1170x2532,3.0,STK-DS-1.0,0e83e7d2b17805993a0ea5d1fc2a61f173aeecf8e8de71bd2a1608093a765b9f,REFERENCE_APPROVED,YES
HOME-004-S05,HOME-004,项目详情,本人已下架项目,V1.2.0,V1.2.0,visual/HOME-004-S05.png,390x844,1170x2532,3.0,STK-DS-1.0,c3c4680d7dfa6cfaf981b70d56dbc550df17a8de08259360765809f962b72a9a,REFERENCE_APPROVED,NO
ME-002-S01,ME-002,我的发布,项目列表加载,V1.2.0,V1.2.0,visual/ME-002-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,3a09483b163b690d8a9a1b3dd0b7c01623e6ecdfdab7e98b09fc87d8a864b56c,REFERENCE_APPROVED,NO
ME-002-S02,ME-002,我的发布,全部项目,V1.2.0,V1.2.0,visual/ME-002-S02.png,390x844,1170x2532,3.0,STK-DS-1.0,29fd8ab96ce8e0c4787a10ab070d2a562a66aff2434ac3d45e227aa485e5b775,REFERENCE_APPROVED,YES
ME-002-S03,ME-002,我的发布,待审核,V1.2.0,V1.2.0,visual/ME-002-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,ddc39bee1c4770a4a718fe0a35e6ed9721e6e85168a23de6a09f6db45833f8f0,REFERENCE_APPROVED,NO
ME-002-S04,ME-002,我的发布,已发布,V1.2.0,V1.2.0,visual/ME-002-S04.png,390x844,1170x2532,3.0,STK-DS-1.0,76629c0de96a28ce0a33d21c64e87420cb3381a738de3967e6d1bf5877d5d3e3,REFERENCE_APPROVED,NO
ME-002-S05,ME-002,我的发布,已驳回,V1.2.0,V1.2.0,visual/ME-002-S05.png,390x844,1170x2532,3.0,STK-DS-1.0,4cc6cadca4d49ff4f1510e962404649782689cd55b8e032d939a60e5688d867e,REFERENCE_APPROVED,YES
ME-002-S06,ME-002,我的发布,已下架,V1.2.0,V1.2.0,visual/ME-002-S06.png,390x844,1170x2532,3.0,STK-DS-1.0,e644be2873aecb5f175c6673d2af09dab537f023fdc82feee1fe312e7717601a,REFERENCE_APPROVED,NO
ME-002-S07,ME-002,我的发布,无项目,V1.2.0,V1.2.0,visual/ME-002-S07.png,390x844,1170x2532,3.0,STK-DS-1.0,758b36312845402fd7d8d6b6191651979c9671f7678527f77f44f825d4bdc324,REFERENCE_APPROVED,NO
ME-002-S08,ME-002,我的发布,加载更多,V1.2.0,V1.2.0,visual/ME-002-S08.png,390x844,1170x2532,3.0,STK-DS-1.0,77846824fe6391af274a03ae459f85ef0c2e6bd79ffb9368741b2956c66e18ed,REFERENCE_APPROVED,NO
ME-002-S09,ME-002,我的发布,加载更多失败,V1.2.0,V1.2.0,visual/ME-002-S09.png,390x844,1170x2532,3.0,STK-DS-1.0,df4bfaa831038896953b563f71d7c022f6c510f88fbebf693fc24c372376b777,REFERENCE_APPROVED,NO
ME-002-S10,ME-002,我的发布,离线缓存,V1.2.0,V1.2.0,visual/ME-002-S10.png,390x844,1170x2532,3.0,STK-DS-1.0,aa164841d1ceb0d4edb2f822134af751ecb35e7b214147a76ca4d2eb0c6191b4,REFERENCE_APPROVED,NO
ME-002-S11,ME-002,我的发布,列表失败,V1.2.0,V1.2.0,visual/ME-002-S11.png,390x844,1170x2532,3.0,STK-DS-1.0,265ba8d0dd5d8b0dd3635fb1dc20df53b6f8ef9565438fcbe45ddaa88818232f,REFERENCE_APPROVED,NO
ME-OV-002-S01,ME-OV-002,本人项目操作面板,待审核项目操作,V1.2.0,V1.2.0,visual/ME-OV-002-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,7ea5f77ecf5245abec8dd643870c6b0dea7f27200c9506d9d3ac6b7429eaf41c,REFERENCE_APPROVED,NO
ME-OV-002-S02,ME-OV-002,本人项目操作面板,已发布项目操作,V1.2.0,V1.2.0,visual/ME-OV-002-S02.png,390x844,1170x2532,3.0,STK-DS-1.0,61e061759c430332258a7e2eb54f1f13eb1d2cf56160fc09cffbee15d55fc58f,REFERENCE_APPROVED,YES
ME-OV-002-S03,ME-OV-002,本人项目操作面板,驳回项目操作,V1.2.0,V1.2.0,visual/ME-OV-002-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,a8b18c94354178aa657ac92e764b3674a9db65c7cacc8eeaf8d2955ca0c082d8,REFERENCE_APPROVED,NO
ME-OV-002-S04,ME-OV-002,本人项目操作面板,下架项目操作,V1.2.0,V1.2.0,visual/ME-OV-002-S04.png,390x844,1170x2532,3.0,STK-DS-1.0,2c33144651e1afe7fce296d7f49b8076118da40535680900cfda32b436fdea3b,REFERENCE_APPROVED,NO
