state_id,page_id,state_name,description,implementation_version,visual_reference,automation,release_blocking
HOME-004-S04,HOME-004,本人被驳回项目,显示原因和重提,V1.2.0,visual/HOME-004-S04.png,EMULATOR_VISUAL_SMOKE,YES
HOME-004-S05,HOME-004,本人已下架项目,显示重新上架/编辑策略,V1.2.0,visual/HOME-004-S05.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S01,ME-002,项目列表加载,状态标签页骨架,V1.2.0,visual/ME-002-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S02,ME-002,全部项目,本人所有非删除项目,V1.2.0,visual/ME-002-S02.png,EMULATOR_VISUAL_SMOKE,YES
ME-002-S03,ME-002,待审核,可查看/编辑/撤回策略,V1.2.0,visual/ME-002-S03.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S04,ME-002,已发布,可查看/编辑/下架,V1.2.0,visual/ME-002-S04.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S05,ME-002,已驳回,原因和重提,V1.2.0,visual/ME-002-S05.png,EMULATOR_VISUAL_SMOKE,YES
ME-002-S06,ME-002,已下架,查看/编辑/删除,V1.2.0,visual/ME-002-S06.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S07,ME-002,无项目,引导发布,V1.2.0,visual/ME-002-S07.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S08,ME-002,加载更多,底部进度,V1.2.0,visual/ME-002-S08.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S09,ME-002,加载更多失败,局部重试,V1.2.0,visual/ME-002-S09.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S10,ME-002,离线缓存,操作类按钮禁用并说明,V1.2.0,visual/ME-002-S10.png,STATE_OR_COMPONENT_TEST,NO
ME-002-S11,ME-002,列表失败,重试,V1.2.0,visual/ME-002-S11.png,STATE_OR_COMPONENT_TEST,NO
ME-OV-002-S01,ME-OV-002,待审核项目操作,查看/编辑/撤回策略,V1.2.0,visual/ME-OV-002-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-OV-002-S02,ME-OV-002,已发布项目操作,查看/编辑/下架,V1.2.0,visual/ME-OV-002-S02.png,EMULATOR_VISUAL_SMOKE,YES
ME-OV-002-S03,ME-OV-002,驳回项目操作,查看原因/编辑/重提/删除,V1.2.0,visual/ME-OV-002-S03.png,STATE_OR_COMPONENT_TEST,NO
ME-OV-002-S04,ME-OV-002,下架项目操作,查看/编辑/删除,V1.2.0,visual/ME-OV-002-S04.png,STATE_OR_COMPONENT_TEST,NO
