operation_id,method,path,plugin,feature_id,introduced_in,auth,request_contract,success_response_contract,error_codes,idempotency,rate_limit,transport,response_envelope
createProject,POST,/v1/projects,stk_project,PUBLISH-002,V1.2.0,BEARER,"title,summary,category_id,asset_ids,cover_asset_id,contact_type,contact_value,contact_name,publish_agreement_version","project_id,status=pending|published,submitted_at,next_route",PROJECT_VALIDATION_FAILED|PROJECT_DAILY_LIMIT|PROJECT_PENDING_LIMIT|PROJECT_DUPLICATE_SUBMISSION,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
updateProject,PUT,/v1/projects/{project_id},stk_project,PUBLISH-003,V1.2.0,BEARER,"project_id,version,title,summary,category_id,asset_ids,cover_asset_id,contact fields","project_id,status,version,updated_at",PROJECT_NOT_OWNER|PROJECT_CONFLICT|PROJECT_VALIDATION_FAILED,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
listMyProjects,GET,/v1/me/projects,stk_project,PUBLISH-004,V1.2.0,BEARER,"status, cursor, limit<=30","items,next_cursor,has_more,status_counts",PROJECT_QUERY_INVALID,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
offlineProject,POST,/v1/projects/{project_id}/offline,stk_project,PUBLISH-003,V1.2.0,BEARER,"project_id,version","status=offline,version,updated_at",PROJECT_NOT_OWNER|PROJECT_STATE_INVALID|PROJECT_CONFLICT,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
resubmitProject,POST,/v1/projects/{project_id}/resubmit,stk_project,PUBLISH-003,V1.2.0,BEARER,"project_id,version","status=pending,version,submitted_at",PROJECT_NOT_OWNER|PROJECT_STATE_INVALID|PROJECT_CONFLICT,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
deleteProject,DELETE,/v1/projects/{project_id},stk_project,PUBLISH-003,V1.2.0,BEARER,"project_id,version",deleted=true,PROJECT_NOT_OWNER|PROJECT_STATE_INVALID|PROJECT_CONFLICT,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getMyMember,GET,/v1/me/member,stk_project,PROFILE-002,V1.3.0,BEARER,none,"status,level_name,badge,started_at,expires_at,benefit_copy",MEMBER_UNAVAILABLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getMyWallets,GET,/v1/me/wallets,stk_project,PROFILE-003,V1.3.0,BEARER,none,"accounts[type,name,balance,currency,operation_enabled=false]",WALLET_UNAVAILABLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getPropDisplay,GET,/v1/props/display,stk_project,PROFILE-004,V1.3.0,BEARER,none,"items[code,name,icon_url,description,display_order,operation_enabled=false]",PROP_CONFIG_UNAVAILABLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getSupportConfig,GET,/v1/support,stk_project,PROFILE-005,V1.3.0,BEARER,none,"title,description,channels[type,label,value,masked_value,external_target]",SUPPORT_CONFIG_UNAVAILABLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getCurrentRelease,GET,/v1/app/releases/current,stk_project,SYS-001,V1.3.0,OPTIONAL_BEARER,"application_id,version_code,version_name,device_api,abi","latest,minimum_supported,update_type,apk_url,apk_sha256,size_bytes,release_notes",RELEASE_CONFIG_INVALID,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
resolveAppLink,GET,/v1/app-links/resolve,stk_project,SYS-002,V1.4.0,OPTIONAL_BEARER,https_url,"route,parameters,fallback_url",APP_LINK_UNSUPPORTED|APP_LINK_BLOCKED,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
healthLive,GET,/healthz,platform,OPS-003,V1.0.0,INTERNAL_OR_PUBLIC_MINIMAL,none,"status=ok,service,build",SYS_UNAVAILABLE,N/A,基础限流,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
healthReady,GET,/readyz,platform,OPS-003,V1.0.0,INTERNAL,none,"database,discuz,storage,sms_config",SYS_DEPENDENCY_UNREADY,N/A,内部监控,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
