config_id,admin_menu_id,config_key,name,type,default,validation,introduced_in,sensitive,runtime_behavior,scope,audit_required
CFG-SEARCH-003,ADM-PROJ-007,search.max_keyword_length,关键词最长长度,integer,40,10..100,V1.1.0,false,hot_reload,global,true
CFG-SEARCH-004,ADM-PROJ-007,search.fields,搜索字段,string_set,"title,summary",只能选择 title|summary,V1.1.0,false,hot_reload,global,true
CFG-EXT-001,ADM-PROJ-006,external.confirm_before_open,外链打开前确认,boolean,true,必须为 true，系统拨号器除外,V1.1.0,false,hot_reload,global,true
CFG-EXT-002,ADM-PROJ-006,external.allow_custom_tabs,允许 Custom Tabs,boolean,true,必须为 true,V1.1.0,false,hot_reload,global,true
CFG-EXT-003,ADM-PROJ-006,external.internal_webview_enabled,内部 WebView,boolean,false,必须为 false,V1.1.0,false,hot_reload,global,true
CFG-EXT-004,ADM-PROJ-006,contact.allowed_types,允许联系方式类型,string_set,"phone,wechat,qq,website",phone|wechat|qq|website 子集且至少一个,V1.1.0,false,hot_reload,global,true
CFG-EXT-005,ADM-PROJ-006,contact.phone_dial_enabled,允许系统拨号,boolean,true,true|false,V1.1.0,false,hot_reload,global,true
CFG-EXT-006,ADM-PROJ-006,contact.copy_enabled,允许复制,boolean,true,true|false,V1.1.0,false,hot_reload,global,true
CFG-PUB-001,ADM-PROJ-009,publish.enabled,用户发布开关,boolean,true,true|false,V1.2.0,false,hot_reload,global,true
CFG-PUB-002,ADM-PROJ-009,publish.review_required,先审后发,boolean,true,true|false,V1.2.0,false,hot_reload,global,true
CFG-PUB-003,ADM-PROJ-009,publish.title_min,标题最短长度,integer,4,2..20,V1.2.0,false,hot_reload,global,true
CFG-PUB-004,ADM-PROJ-009,publish.title_max,标题最长长度,integer,40,20..80,V1.2.0,false,hot_reload,global,true
CFG-PUB-005,ADM-PROJ-009,publish.summary_min,简介最短长度,integer,20,10..100,V1.2.0,false,hot_reload,global,true
CFG-PUB-006,ADM-PROJ-009,publish.summary_max,简介最长长度,integer,1000,200..5000,V1.2.0,false,hot_reload,global,true
CFG-PUB-007,ADM-PROJ-009,publish.contact_name_max,联系人最长长度,integer,30,0..60,V1.2.0,false,hot_reload,global,true
CFG-PUB-008,ADM-PROJ-009,publish.daily_limit,单用户每日发布上限,integer,10,1..100,V1.2.0,false,hot_reload,global,true
CFG-PUB-009,ADM-PROJ-009,publish.pending_limit,单用户待审核上限,integer,5,1..50,V1.2.0,false,hot_reload,global,true
CFG-PUB-010,ADM-PROJ-009,publish.edit_requires_review,已发布项目编辑后重新审核,boolean,true,建议保持 true,V1.2.0,false,hot_reload,global,true
CFG-PUB-011,ADM-PROJ-009,publish.user_offline_enabled,允许用户下架,boolean,true,true|false,V1.2.0,false,hot_reload,global,true
CFG-PUB-012,ADM-PROJ-009,publish.user_delete_enabled,允许用户删除,boolean,true,true|false,V1.2.0,false,hot_reload,global,true
CFG-PUB-013,ADM-PROJ-009,publish.agreement_version,发布规范版本,string,1.0,有效已发布版本,V1.2.0,false,hot_reload,global,true
CFG-UPL-001,ADM-PROJ-010,upload.image_min_count,最少图片数,integer,1,0..20 且不大于最大数,V1.2.0,false,hot_reload,global,true
CFG-UPL-002,ADM-PROJ-010,upload.image_max_count,最多图片数,integer,9,1..20,V1.2.0,false,hot_reload,global,true
CFG-UPL-003,ADM-PROJ-010,upload.max_bytes,单图最大字节数,integer,10485760,1048576..20971520,V1.2.0,false,hot_reload,global,true
CFG-UPL-004,ADM-PROJ-010,upload.allowed_mime,允许 MIME,string_set,"image/jpeg,image/png,image/webp",仅安全位图格式,V1.2.0,false,hot_reload,global,true
CFG-UPL-005,ADM-PROJ-010,upload.max_long_edge_px,最长边限制,integer,1920,1080..4096,V1.2.0,false,hot_reload,global,true
CFG-UPL-006,ADM-PROJ-010,upload.jpeg_quality,JPEG 目标质量,integer,82,70..92,V1.2.0,false,hot_reload,global,true
CFG-UPL-007,ADM-PROJ-010,upload.concurrent_count,客户端上传并发,integer,2,1..3,V1.2.0,false,hot_reload,global,true
CFG-UPL-008,ADM-PROJ-010,upload.unattached_cleanup_hours,未绑定图片清理小时,integer,24,6..168,V1.2.0,false,hot_reload,global,true
CFG-UPL-009,ADM-PROJ-010,upload.strip_exif,移除 EXIF,boolean,true,必须为 true,V1.2.0,false,hot_reload,global,true
CFG-ME-001,ADM-ME-001,me.commission_account_name,佣金账户名称,string,佣金账户,1..12 字,V1.3.0,false,hot_reload,global,true
CFG-ME-002,ADM-ME-001,me.task_account_name,任务账户名称,string,任务账户,1..12 字,V1.3.0,false,hot_reload,global,true
CFG-ME-003,ADM-ME-001,me.show_wallets,显示账户余额,boolean,true,true|false,V1.3.0,false,hot_reload,global,true
CFG-ME-004,ADM-ME-001,me.show_member_card,显示会员卡,boolean,true,true|false,V1.3.0,false,hot_reload,global,true
CFG-ME-005,ADM-ME-001,me.show_props,显示道具中心,boolean,true,true|false,V1.3.0,false,hot_reload,global,true
CFG-ME-006,ADM-ME-001,me.placeholder_copy,占位页统一说明,string,该功能尚未在本期开放，当前不会产生任何业务数据。,10..120 字,V1.3.0,false,hot_reload,global,true
CFG-MEMBER-001,ADM-ME-001,member.inactive_title,未开通会员标题,string,开通会员，推广更省心,1..30 字,V1.3.0,false,hot_reload,global,true
CFG-MEMBER-002,ADM-ME-001,member.benefit_discount_copy,折扣权益展示文案,string,消费 5 折,1..20 字；仅展示文案,V1.3.0,false,hot_reload,global,true
CFG-MEMBER-003,ADM-ME-001,member.benefit_commission_copy,返佣权益展示文案,string,消费返佣 40%,1..20 字；仅展示文案,V1.3.0,false,hot_reload,global,true
CFG-MEMBER-004,ADM-ME-001,member.operation_enabled,在线开通功能,boolean,false,本五版本必须为 false,V1.3.0,false,hot_reload,global,true
CFG-WALLET-001,ADM-ME-003,wallet.currency,账户币种,enum,CNY,CNY,V1.3.0,false,hot_reload,global,true
CFG-WALLET-002,ADM-ME-003,wallet.operation_enabled,账户操作功能,boolean,false,本五版本必须为 false,V1.3.0,false,hot_reload,global,true
CFG-PROP-001,ADM-ME-004,props.operation_enabled,道具购买/使用功能,boolean,false,本五版本必须为 false,V1.3.0,false,hot_reload,global,true
CFG-SUPPORT-001,ADM-ME-005,support.title,客服标题,string,联系商推客客服,1..30 字,V1.3.0,false,hot_reload,global,true
CFG-SUPPORT-002,ADM-ME-005,support.description,客服说明,string,工作时间内我们会尽快回复。,1..120 字,V1.3.0,false,hot_reload,global,true
CFG-SUPPORT-003,ADM-ME-005,about.company_name,运营主体名称,string,待项目所有者配置,1..80 字,V1.3.0,false,hot_reload,global,true
CFG-SUPPORT-004,ADM-ME-005,about.record_number,备案号,string,待项目所有者配置,0..80 字,V1.3.0,false,hot_reload,global,true
CFG-REL-001,ADM-SYS-001,release.application_id,Android applicationId,string,com.zzyihao.stk,必须固定且与 APK 一致,V1.3.0,false,immutable,global,true
CFG-REL-002,ADM-SYS-001,release.download_host,APK 下载域名,host,stk-download.zz-yihao.com,必须在域名合同中登记并启用 HTTPS,V1.4.0,false,hot_reload,global,true
CFG-REL-003,ADM-SYS-001,release.sha256_required,APK SHA-256 必填,boolean,true,必须为 true,V1.3.0,false,hot_reload,global,true
CFG-REL-004,ADM-SYS-001,release.signature_fingerprint_required,签名指纹校验,boolean,true,必须为 true,V1.4.0,false,hot_reload,global,true
CFG-MAINT-001,ADM-SYS-002,maintenance.enabled,维护模式开关,boolean,false,true|false,V1.4.0,false,hot_reload,global,true
CFG-MAINT-002,ADM-SYS-002,maintenance.title,维护标题,string,系统维护中,1..30 字,V1.4.0,false,hot_reload,global,true
CFG-MAINT-003,ADM-SYS-002,maintenance.message,维护说明,string,服务正在维护，请稍后再试。,1..200 字,V1.4.0,false,hot_reload,global,true
CFG-MAINT-004,ADM-SYS-002,maintenance.allow_cached_home,维护时允许缓存首页,boolean,false,true|false,V1.4.0,false,hot_reload,global,true
CFG-LINK-001,ADM-SYS-003,app_links.host,App Links 主机,host,stk.zz-yihao.com,必须与 assetlinks.json 一致,V1.4.0,false,hot_reload,global,true
CFG-LINK-002,ADM-SYS-003,app_links.allowed_paths,App Links 路径,string_set,"/project/,/download/,/open/",只能为明确路径前缀,V1.4.0,false,hot_reload,global,true
